game_title, genre, platforms, release_date, developers,metascore_rating
Super Mutant Alien Assault,Platformer|2D|Action,PlayStation 4|PC|PlayStation Vita|Xbox One,Jul 12 2016,Cybernate| Chris Suffern,67
Fate/Extella: The Umbral Star,Beat-'Em-Up|3D|Action,PlayStation 4|PC|PlayStation Vita|Switch,Jan 17 2017,Marvelous Inc.,67
Dissidia: Final Fantasy NT,3D|Fighting|Action,PlayStation 4,Jan 30 2018,Team Ninja,67
CounterSpy,General|Action,PlayStation 4|iPhone/iPad|PlayStation 3|PlayStation Vita,Aug 19 2014,Dynamighty,67
A Pixel Story,Platformer|2D|Action,PlayStation 4|PC|Xbox One,Feb 24 2017,Lamplight Studios,67
Operation Warcade,Shooter|Light Gun|Action,PlayStation 4|PC,Apr 11 2018,Ivanovich Games,67
Rage 2,Shooter|Arcade|First-Person|Action,PlayStation 4|PC|Xbox One,May 14 2019,id Software| Avalanche Studios,67
Rocketbirds 2: Evolution,Platformer|2D|Action,PlayStation 4|PC|PlayStation Vita,Apr 26 2016,Ratloop Asia Pte Ltd,67
Call of Duty: WWII - United Front,Shooter|Arcade|First-Person|Action,PlayStation 4|PC|Xbox One,Jun 26 2018,Sledgehammer Games,67
World War Z,Shooter|First-Person|Tactical|Action,PlayStation 4|PC|Xbox One,Apr 16 2019,Saber Interactive,66
Foul Play,Beat-'Em-Up|2D|Action,PlayStation 4|PC|PlayStation Vita|Xbox 360,Feb 23 2016,Mediatonic,66
Sparkle 2,Matching|Puzzle|General|Action,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Switch|Xbox One,May 20 2014,10tons Ltd| 10tons,66
A Boy and His Blob,Platformer|2D|Action,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Xbox One,Jan 19 2016,Abstraction Games,66
Nights of Azure 2: Bride of the New Moon,Role-Playing|General|Action RPG|Action,PlayStation 4|PC|Switch,Oct 24 2017,Gust,66
Black The Fall,General|Action,PlayStation 4|PC|Switch|Xbox One,Jul 11 2017,Sand Sailor Studio,66
Nano Assault NEO-X,Top-Down|Scrolling|Action|Shooter|Shoot-'Em-Up,PlayStation 4|Wii U,Nov 11 2014,Shin'en,66
Super Stardust Ultra VR,Shooter|Shoot-'Em-Up|Top-Down|Action,PlayStation 4,Oct 10 2016,Sony Interactive Entertainment,66
One Piece: Burning Blood,3D|Fighting|Action,PlayStation 4|PC|PlayStation Vita|Xbox One,May 31 2016,Spike Chunsoft,66
H1Z1: Battle Royale,Arcade|Survival|Action|Shooter|Action Adventure|Third-Person,PlayStation 4|PC,Aug  7 2018,Sony Online Entertainment| Daybreak Games,66
Rad Rodgers,Platformer|2D|Action,PlayStation 4|PC|Switch|Xbox One,Feb 21 2018,THQ Nordic,66
Berserk and the Band of the Hawk,Beat-'Em-Up|3D|Action,PlayStation 4|PC|PlayStation Vita,Feb 21 2017,Omega Force,66
Chaos Code: New Sign of Catastrophe,2D|Fighting|Action,PlayStation 4|PC,Mar 15 2017,FK Digital,66
Battlezone,Arcade|Action,PlayStation 4|PC,Oct 13 2016,Rebellion,66
Leo's Fortune,Platformer|2D|Action,PlayStation 4|iPhone/iPad|PC|Xbox One,Sep  8 2015,1337 & Senri LLC,66
Lethal League,2D|Fighting|Action,PlayStation 4|PC|Xbox One,May  9 2017,Reptile,66
ToeJam & Earl: Back in the Groove,General|Action,PlayStation 4|PC|Switch|Xbox One,Feb 15 2019,Humanature Studios,66
Unepic,Platformer|2D|Action,PlayStation 4|PC|PlayStation Vita|Switch|Wii U|Xbox One,Mar 29 2016,A Crowd of Monsters,66
Laserlife,Shooter|Rail|Action,PlayStation 4|PC|Xbox One,Sep 22 2015,Choice Provisions,65
Senran Kagura Burst Re:Newal,Beat-'Em-Up|2D|Action,PlayStation 4|PC,Jan 22 2019,Honey Parade Games,65
Trine 3: The Artifacts of Power,Platformer|2D|Action,PlayStation 4|PC,Dec 22 2015,Frozenbyte| Inc.,65
DEXED,Shooter|Rail|Action,PlayStation 4|PC,Jan 31 2017,Ninja Theory,65
FOX n FORESTS,Platformer|2D|Action,PlayStation 4|PC|Switch|Xbox One,May 17 2018,Bonus Level Entertainment,65
Marvel's Guardians of the Galaxy - Episode 3: More Than A Feeling,Adventure|3D|General|Action|Third-Person,PlayStation 4|iPhone/iPad|PC|Xbox One,Aug 22 2017,Telltale Games,65
Dark Eclipse,General|Action,PlayStation 4,Sep 25 2018,SunSoft,65
Tiny Troopers: Joint Ops,Top-Down|General|Action|Shooter|Shoot-'Em-Up,PlayStation 4|PlayStation 3|PlayStation Vita|Xbox One,Nov 18 2014,Kukouri Mobile Entertainment| Plunge Interactive,65
Dead Island: Retro Revenge,Beat-'Em-Up|2D|Action,PlayStation 4|PC|Xbox One,May 31 2016,Techland| Empty Clip Studios,65
Vostok Inc.,Shooter|Shoot-'Em-Up|Top-Down|Action,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,Jul 26 2017,Badland Games,65
De Blob,3D|Platformer|Action,PlayStation 4|iPhone/iPad|PC|Switch|Xbox One,Nov 14 2017,THQ Nordic,65
Punch Line,Adventure|General|Visual Novel|Action,PlayStation 4|PC|PlayStation Vita,Oct  9 2018,5pb,65
The VideoKid,Arcade|Action,PlayStation 4|PC|Switch|Xbox One,Dec 11 2018,Chorus Worldwide,65
Sniper Elite V2 Remastered,Shooter|Third-Person|Tactical|Action,PlayStation 4|PC|Switch|Xbox One,May 14 2019,Rebellion,65
The Solus Project,General|Action,PlayStation 4|PC|Xbox One,Sep 18 2017,Grip Games,65
SingStar Celebration,Music|Rhythm|Action,PlayStation 4,Oct 24 2017,Sony Interactive Entertainment,65
ZEN Pinball 2: Marvel's Avengers: Age of Ultron,Pinball|Action,PlayStation 4|PlayStation 3|PlayStation Vita,Apr 22 2015,Zen Studios,65
Super Motherload,Puzzle|Miscellaneous|General|Action,PlayStation 4|PC|PlayStation 3,Nov 15 2013,XGenStudios,65
Dynasty Warriors 9,3D|Open-World|Action|Beat-'Em-Up|Action Adventure,PlayStation 4|PC|Xbox One,Feb 13 2018,Omega Force,65
Party Hard,General|Action,PlayStation 4|PC|Switch|Xbox One,Apr 26 2016,Pinokl Games,65
Xenoraid,Shooter|Vertical|Shoot-'Em-Up|Action,PlayStation 4|iPhone/iPad|PC|PlayStation Vita|Switch|Xbox One,Nov  8 2016,10tons Entertainment| 10tons Ltd| 10tons,65
A King's Tale: Final Fantasy XV,Beat-'Em-Up|2D|Action,PlayStation 4|Xbox One,Nov 29 2016,Square Enix,65
Omen of Sorrow,2D|Fighting|Action,PlayStation 4,Nov  6 2018,AOne Games,64
The King's Bird,Platformer|2D|Action,PlayStation 4|PC|Switch|Xbox One,Feb 12 2019,Serenity Forge,64
Sword Art Online: Fatal Bullet,Shooter|Third-Person|Arcade|Action,PlayStation 4|PC|Xbox One,Feb 23 2018,Dimps Corporation,64
Genesis Alpha One,Shooter|Arcade|First-Person|Action,PlayStation 4|PC|Xbox One,Jan 29 2019,Radiation Blue,64
Scribblenauts Showdown,Puzzle|Action,PlayStation 4|Switch|Xbox One,Mar  6 2018,Warner Bros. Interactive Entertainment,64
Secret Ponchos,Arcade|First-Person|Action|Shooter|Historic,PlayStation 4|PC,Dec  2 2014,Switchblade Monkeys,64
King Oddball,Puzzle|Miscellaneous|Action,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Switch|Xbox One,Apr  8 2014,10tons Ltd| 10tons,64
Rebel Galaxy,Action Adventure|Open-World|General|Action,PlayStation 4|PC|Xbox One,Jan  5 2016,Double Damage Games,64
Earth Defense Force 4.1: The Shadow of New Despair,Shooter|Third-Person|Arcade|Action,PlayStation 4|PC,Dec  8 2015,Sandlot,64
Crimsonland,Top-Down|Scrolling|Action|Shooter|Vertical|Shoot-'Em-Up,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Switch|Xbox One,Jul 15 2014,10tons Entertainment| 10tons,64
Gal*Gun: Double Peace,Shooter|Light Gun|Action,PlayStation 4|PC|PlayStation Vita,Aug  2 2016,Alchemist| Inti Creates,64
Ninja Senki DX,Platformer|2D|Action,PlayStation 4|PC|PlayStation Vita,Feb 23 2016,Jonathan Lavigne,64
The Sun and Moon,Platformer|2D|Action,PlayStation 4|PC|PlayStation Vita|Xbox One,Apr 26 2016,Daniel Linssen,64
Tom Clancy's The Division - Underground,Arcade|Action|Shooter|Tactical|Third-Person,PlayStation 4|PC|Xbox One,Jun 28 2016,Massive Entertainment,64
SwapQuest,General|Action,PlayStation 4|iPhone/iPad|PC|PlayStation Vita|Xbox One,Aug 22 2017,Constantin Graf,64
Tiny Brains,Puzzle|Miscellaneous|Action,PlayStation 4|PC|PlayStation 3,Dec  3 2013,Spearhead Games,64
TRON RUN/r,3D|Platformer|Action,PlayStation 4|PC|Xbox One,Feb 16 2016,Sanzaru Games,64
Zombie Vikings,Beat-'Em-Up|2D|Action,PlayStation 4|PC|Xbox One,Sep  1 2015,Zoink!,64
ChromaGun VR,Shooter|Arcade|First-Person|Action,PlayStation 4,Feb 19 2019,Pixel Maniacs,64
Deadcore,Shooter|Arcade|First-Person|Action,PlayStation 4|PC|Xbox One,Jul 14 2017,Grip Games,64
Bard's Gold,Platformer|2D|Action,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,Jun 17 2016,Erdem Sen,64
TETRA's Escape,Puzzle|Action,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,Aug  7 2018,ABX Games Studio,64
Warframe,Arcade|General|Action|Shooter|Third-Person,PlayStation 4|PC|Switch|Xbox One,Nov 12 2013,Digital Extremes,64
Seasons After Fall,Platformer|2D|Action,PlayStation 4|PC|Xbox One,May 16 2017,Swing Swing Submarine,64
Track Lab,Music|Rhythm|Action,PlayStation 4,Aug 21 2018,Sony Interactive Entertainment,64
Neon Chrome,Shooter|Shoot-'Em-Up|Top-Down|Action,PlayStation 4|iPhone/iPad|PC|PlayStation Vita|Switch|Xbox One,May 31 2016,10tons Entertainment| 10tons,63
Airheart: Tales of Broken Wings,Shooter|Shoot-'Em-Up|Top-Down|Action,PlayStation 4|PC|Switch|Xbox One,Jul 24 2018,Blindflug Studios,63
Dynasty Warriors 8 Empires,Beat-'Em-Up|3D|Action,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Xbox One,Feb 24 2015,Omega Force,63
Destiny: The Dark Below,Arcade|Sci-Fi|First-Person|Action|Shooter,PlayStation 4|PlayStation 3|Xbox 360|Xbox One,Dec  9 2014,Bungie,63
#KILLALLZOMBIES,Sci-Fi|Third-Person|Shooter|Top-Down|Shoot-'Em-Up|Action,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Switch|Xbox One,Oct 28 2014,Beatshapers,63
Shadow Blade: Reload,Action|General,PlayStation 4|iPhone/iPad|PC|Switch,May 31 2016,Dead Mage,63
PONCHO,2D|Action|Platformer,PlayStation 4|PC|Wii U,Nov  3 2015,Delve Interactive,63
Space Junkies,Arcade|Action,PlayStation 4|PC,Mar 26 2019,Ubisoft Montpellier,63
Unbox: Newbie's Adventure,3D|Action|Platformer,PlayStation 4|PC|Switch|Xbox One,Jul 25 2017,Merge Games,63
Fat Princess Adventures,General|Action|Role-Playing|Action RPG,PlayStation 4,Dec  5 2015,SCE Santa Monica| Fun Bits,63
Pang Adventures,2D|Action|Platformer,PlayStation 4|iPhone/iPad|PC|Switch|Xbox One,Apr 19 2016,Pasta Games,63
Kung Fu Panda: Showdown of Legendary Legends,Action Adventure|2D|Fighting|Action|General,PlayStation 4|3DS|PC|PlayStation 3|Wii U|Xbox 360|Xbox One,Dec  1 2015,Vicious Cycle,63
Stardust Vanguards,Top-Down|Shooter|Shoot-'Em-Up|Action,PlayStation 4|PC,Jan 19 2016,Zanrai Interactive,63
Exile's End,2D|Action|Platformer,PlayStation 4|PC|PlayStation Vita|Wii U|Xbox One,Oct 25 2016,MagneticRealms,63
Salary Man Escape VR,Puzzle|Action,PlayStation 4,Jun 26 2018,Sony Interactive Entertainment| Red Accent Studios,63
The Order: 1886,Action Adventure|Sci-Fi|Arcade|Third-Person|Shooter|Linear|Action|General,PlayStation 4,Feb 20 2015,Ready at Dawn| SCE Santa Monica,63
Arizona Sunshine,First-Person|Shooter|Arcade|Action,PlayStation 4|PC,Jul  5 2017,Jaywalkers Interactive,63
The Escapists: The Walking Dead,Action|General,PlayStation 4|PC|Xbox One,Feb 16 2016,Team 17,63
Destiny 2: Warmind,First-Person|Shooter|Arcade|Action,PlayStation 4|PC|Xbox One,May  8 2018,Bungie,63
Planet Alpha,2D|Action|Platformer,PlayStation 4|PC|Switch|Xbox One,Sep  4 2018,Adrian Lazar,63
Shiftlings,2D|Action|Platformer,PlayStation 4|PC|Switch|Wii U|Xbox One,Mar  3 2015,Rock Pocket Games,63
Slice  Dice & Rice,2D|Fighting|Action,PlayStation 4|PC|Switch,Feb 14 2018,Dojo Games,63
I Hate Running Backwards,Vertical|Shooter|Shoot-'Em-Up|Action,PlayStation 4|PC|Switch|Xbox One,May 22 2018,Binx Interactive,63
Illusion: A Tale of the Mind,Puzzle|Action,PlayStation 4|PC|Xbox One,Jun  1 2018,Frima Studio,63
BRAWL,Arcade|Action,PlayStation 4|PC|Switch,Apr 24 2015,Bloober Team,62
Ghost Blade HD,Vertical|Shooter|Shoot-'Em-Up|Action,PlayStation 4|PC|Wii U|Xbox One,Feb 28 2017,HUCAST,62
Velocibox,Arcade|Action|General,PlayStation 4|PC|PlayStation 3|PlayStation Vita,Jul 28 2015,Shawn Beck,62
Blue Rider,Top-Down|Shooter|Shoot-'Em-Up|Action,PlayStation 4|PC|Switch|Xbox One,Sep 14 2016,Ravegan,62
Nebulous,Puzzle|Action|General,PlayStation 4|PC|Xbox One,Aug 31 2016,Namazu Studios,62
AIPD - Artificial Intelligence Police Department,Top-Down|Shooter|Shoot-'Em-Up|Action,PlayStation 4|PC|Xbox One,Jan 29 2016,Blazing Badger,62
Zombie Army Trilogy,Shooter|Arcade|Third-Person|Action,PlayStation 4|PC|Xbox One,Mar  3 2015,Rebellion,62
Bubsy: Paws on Fire,2D|Action|Platformer,PlayStation 4|PC|Switch,May 16 2019,Choice Provisions,62
Ninjin: Clash of Carrots,2D|Beat-'Em-Up|Action,PlayStation 4|PC|Switch|Xbox One,Sep  4 2018,Pocket Trap,62
WWE 2K15,Combat|Fighting|Individual|Sports|Action|Wrestling,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Nov 18 2014,Yuke's,62
Color Guardians,3D|Action|Platformer,PlayStation 4|PC|PlayStation Vita,May 12 2015,Fair Play Labs,62
Back to Bed,Action|General,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Switch|Wii U,Aug 25 2015,Bedtime Digital Games| LOOT Interactive,62
99Vidas,2D|Beat-'Em-Up|Action,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Xbox One,Jul 18 2017,QUByte Interactive,61
Gunscape,First-Person|Shooter|Arcade|Action,PlayStation 4|Xbox One,Mar  1 2016,Blowfish Studios,61
Naruto to Boruto: Shinobi Striker,Fighting|Action|3D,PlayStation 4|PC|Xbox One,Aug 31 2018,CyberConnect2| Soleil,61
World of Warriors,Action|General,PlayStation 4|iPhone/iPad,Mar 21 2018,Mind Candy,61
WE ARE DOOMED,Shooter|Horizontal|Shoot-'Em-Up|Action,PlayStation 4|PC|PlayStation Vita|Xbox One,Apr 14 2015,Vertex Pop,61
Raging Justice,2D|Beat-'Em-Up|Action,PlayStation 4|PC|Switch|Xbox One,May  8 2018,MakinGames,61
Filthy Lucre,Top-Down|Shooter|Shoot-'Em-Up|Action,PlayStation 4|PC,Sep 16 2016,Fabrik Games,61
Demon's Crystals,Action|General,PlayStation 4|PC|Switch|Xbox One,May 12 2017,Badland Games,61
Ginger: Beyond the Crystal,3D|Action|Platformer,PlayStation 4|PC|Switch|Xbox One,Oct 25 2016,Drakhar Studio,61
JoJo's Bizarre Adventure: Eyes of Heaven,Fighting|Action|3D,PlayStation 4,Jun 28 2016,CyberConnect2,61
PaRappa the Rapper Remastered,Rhythm|Action|Music,PlayStation 4,Apr  4 2017,NanaOn-Sha| Sony Interactive Entertainment,61
8DAYS,Top-Down|Shooter|Shoot-'Em-Up|Action,PlayStation 4|PC|Xbox One,Feb  7 2017,Santa Clara Games,61
J-Stars Victory Vs+,Fighting|Action|3D,PlayStation 4|PlayStation 3|PlayStation Vita,Jun 30 2015,Bandai Namco Games| Spike Chunsoft,61
Fast Striker,Vertical|Shooter|Shoot-'Em-Up|Action,PlayStation 4|iPhone/iPad|PlayStation Vita,Oct 16 2018,NG:DEV.TEAM,61
Hatsune Miku VR: Future Live,Rhythm|Action|Music,PlayStation 4|PC,Oct 13 2016,SegaSoft| Sega,61
Flockers,Puzzle|Action,PlayStation 4|iPhone/iPad|PC|Xbox One,Sep 23 2014,Team 17,61
Asterix & Obelix XXL 2,3D|Action|Platformer,PlayStation 4|PC|Switch|Xbox One,Nov 29 2018,Etranges Libellules,61
Schrodinger's Cat and the Raiders of the Lost Quark,2D|Action|Platformer,PlayStation 4|PC|Xbox One,May 12 2015,Italic Pig,61
Brawlout,2D|Fighting|Beat-'Em-Up|Action,PlayStation 4|PC|Switch|Xbox One,Aug 21 2018,Angry Mob Games,61
Touhou Double Focus,2D|Action|Platformer,PlayStation 4|PlayStation Vita,Mar 21 2017,Aqua Style,60
Power Rangers: Battle for the Grid,2D|Action|Platformer,PlayStation 4|Switch|Xbox One,Apr  2 2019,nWay,60
101 Ways to Die,2D|Action|Platformer,PlayStation 4|PC|Xbox One,Mar 22 2016,4 Door Lemon,60
My Night Job,2D|Action|Platformer,PlayStation 4|PC,May 17 2016,Webcore Games,60
Just Sing,Rhythm|Action|Music,PlayStation 4|Xbox One,Sep  6 2016,Ubisoft| iNiS,60
Anoxemia,2D|Action|Platformer,PlayStation 4|PC|Xbox One,Mar 28 2017,BSK Games| Badland Games,60
KickBeat: Special Edition,Rhythm|Music|Action|Miscellaneous,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Wii U|Xbox One,Sep 16 2014,Zen Studios,60
SNK Heroines: Tag Team Frenzy,2D|Fighting|Action,PlayStation 4|PC|Switch,Sep  7 2018,SNK Corporation,60
Deadpool,Action Adventure|Arcade|Beat-'Em-Up|Third-Person|Shooter|Linear|Action|3D,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Nov 17 2015,High Moon Studios| Iron Galaxy Studios,60
De-formers,Arcade|Action,PlayStation 4|PC|Xbox One,Apr 21 2017,Ready at Dawn,60
One Upon Light,Puzzle|Action,PlayStation 4|PC,Oct 13 2015,Singapore University of Technology and Design,59
Saint Seiya: Soldiers' Soul,Fighting|Action|3D,PlayStation 4|PC|PlayStation 3,Oct  6 2015,Dimps Corporation,59
The Peanuts Movie: Snoopy's Grand Adventure,Action Adventure|Platformer|2D|Action|General,PlayStation 4|3DS|Wii U|Xbox 360|Xbox One,Nov  3 2015,Activision| Behaviour Interactive,59
Mortal Blitz,First-Person|Shooter|Arcade|Action,PlayStation 4|PC,Apr  4 2017,Skonec,59
Contrast,Platformer|Miscellaneous|Puzzle|Action|3D,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Nov 15 2013,Compulsion Games,59
Rogue Trooper Redux,Shooter|Arcade|Third-Person|Action,PlayStation 4|PC|Switch|Xbox One,Oct 17 2017,Sold Out,59
Loadout,Arcade|Modern|Third-Person|Shooter|Action,PlayStation 4|PC,Dec 16 2014,Edge of Reality,59
Override: Mech City Brawl,Action|General,PlayStation 4|PC|Xbox One,Dec  4 2018,The Balance| Inc,59
Rain World,2D|Action|Platformer,PlayStation 4|PC|Switch,Mar 28 2017,Videocult,59
Pillar,Puzzle|Action,PlayStation 4|PC|Switch|Xbox One,Feb 17 2015,MichaelArts,59
Skylar & Plux: Adventure on Clover Island,3D|Action|Platformer,PlayStation 4|PC|Xbox One,May 19 2017,Grip Games| Right Nice Games,59
SG/ZH: School Girl Zombie Hunter,Shooter|Arcade|Third-Person|Action,PlayStation 4|PC,Nov 17 2017,Tamsoft,59
Rack N Ruin,Action Adventure|Fantasy|Action|General|Open-World,PlayStation 4|PC,Mar 31 2015,LifeSpark Entertainment,59
Murdered: Soul Suspect,Action Adventure|Survival|Horror|Action|General,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Jun  3 2014,Airtight Games,59
StarDrone,Action|General,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Switch,Jan 17 2018,Beatshapers,59
Entwined,Arcade|Action|General,PlayStation 4|PlayStation 3|PlayStation Vita,Jun  9 2014,Pixel Opus,59
Aaru's Awakening,2D|Action|Platformer,PlayStation 4|PC|PlayStation 3|Xbox One,Apr  7 2015,Lumenox ehf,59
Little Witch Academia: Chamber of Time,Action|General,PlayStation 4|PC,May 15 2018,Bandai Namco Games,58
Blacklight: Retribution,Sci-Fi|Arcade|Shooter|First-Person|Action,PlayStation 4|PC,Nov 15 2013,Zombie Studios,58
Chivalry: Medieval Warfare,Beat-'Em-Up|Action|General|3D,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Dec  1 2015,Torn Banner Studios| Hardsuit Labs,58
Rolling Bob,2D|Action|Platformer,PlayStation 4,Apr 13 2017,MOONFACTORY SC,58
Attractio,Puzzle|Action|General,PlayStation 4|PC|PlayStation Vita,Jan 19 2016,GameCoder Studios,58
Dick Wilde 2,Shooter|Action|Light Gun,PlayStation 4|PC,Feb 19 2019,Bolverk Games,58
Immortal Legacy: The Jade Cipher,Shooter|Action|Light Gun,PlayStation 4,Apr 16 2019,Viva Games,58
Mitsurugi Kamui Hikae,Beat-'Em-Up|Action|3D,PlayStation 4|PC|Switch|Xbox One,Feb 16 2016,Zenith Blue,58
Bladestorm: Nightmare,Beat-'Em-Up|Action|3D,PlayStation 4|PC|PlayStation 3|Xbox One,Mar 17 2015,Omega Force,58
HAWKEN,Shooter|First-Person|Tactical|Action|General,PlayStation 4|PC|Xbox One,Jul  8 2016,Reloaded Games Inc.| Reloaded Games,58
Far Cry 5: Lost on Mars,First-Person|Shooter|Arcade|Action,PlayStation 4|PC|Xbox One,Jul 17 2018,Ubisoft Montreal,57
Jump Force,Action Adventure|Fighting|Action|General|3D,PlayStation 4|PC|Xbox One,Feb 15 2019,Spike Chunsoft Co. Ltd.| Spike Chunsoft,56
Oh My Godheads,Fighting|Action|3D,PlayStation 4|PC|Switch|Xbox One,Dec  5 2017,Titutitech,56
Lethal VR,First-Person|Shooter|Arcade|Action,PlayStation 4|PC,Dec 20 2016,Team 17,56
Far Cry 4: Escape from Durgesh Prison,Arcade|Modern|Shooter|First-Person|Action,PlayStation 4|Xbox One,Jan 13 2015,Ubisoft Montreal,56
ADR1FT,Action Adventure|Survival|Action|General,PlayStation 4|PC,Jul 15 2016,Three One Zero,56
Gal*Gun 2,Shooter|Action|Light Gun,PlayStation 4|PC|Switch,Apr 24 2018,Inti Creates,56
Verdun,Arcade|Shooter|First-Person|Tactical|Action,PlayStation 4|PC|Xbox One,Aug 30 2016,Abstraction Games| Blackmill Games,56
Perfect Universe,Party / Minigame|General|Action|Miscellaneous,PlayStation 4|PC,May 17 2016,Will Sykes Games,56
Drawn to Death,Sci-Fi|Arcade|Third-Person|Shooter|Action,PlayStation 4,Apr  4 2017,SCEA San Diego Studios| Sony Interactive Entertainment,56
Sniper: Ghost Warrior 3,Modern|Shooter|First-Person|Tactical|Action,PlayStation 4|PC|Xbox One,Apr 25 2017,City Interactive,55
Space Hulk: Deathwing,First-Person|Shooter|Arcade|Action,PlayStation 4|PC,May 22 2018,Streum On Studio,55
Now That's What I Call Sing,Rhythm|Action|Music,PlayStation 4,Oct 23 2015,Ravenscourt,55
Touhou Genso Rondo: Bullet Ballet,Top-Down|Shooter|Shoot-'Em-Up|Action,PlayStation 4,Sep  6 2016,Mediascape| CUBETYPE,55
Dusty Raging Fist,2D|Beat-'Em-Up|Action,PlayStation 4|PC|Switch,Apr 12 2018,PD Design Studio Pte Ltd,55
Far Cry 5: Hours of Darkness,First-Person|Shooter|Arcade|Action,PlayStation 4|PC|Xbox One,Jun  5 2018,Ubisoft Montreal,55
Trials of the Blood Dragon,2D|Action|Platformer,PlayStation 4|PC|Xbox One,Jun 13 2016,RedLynx,55
The Seven Deadly Sins: Knights of Britannia,Beat-'Em-Up|Action|3D,PlayStation 4,Feb  9 2018,Bandai Namco Games| NATSUME ATARI Inc.,55
Feist,2D|Action|Platformer,PlayStation 4|iPhone/iPad|PC|Xbox One,Dec 13 2016,Bits & Beasts,54
In Space We Brawl,Action|General,PlayStation 4|PC|PlayStation 3|Xbox One,Oct 14 2014,Forge Reply,54
Circuit Breakers,Top-Down|Shooter|Shoot-'Em-Up|Action,PlayStation 4|PC|Xbox One,Jul 25 2017,Triverske,54
GUNS UP!,Real-Time|Strategy|Action|General,PlayStation 4,Dec  5 2015,Valkyrie Entertainment,54
Earthfall,Tactical|First-Person|Shooter|Action,PlayStation 4|PC|Xbox One,Jul 13 2018,Holospark,54
Time Carnage,Shooter|Action|Light Gun,PlayStation 4|PC|Switch|Xbox One,Apr 10 2018,Wales Interactive Ltd.,54
Smashbox Arena,Shooter|Action|Light Gun,PlayStation 4|PC,Jul 25 2017,BigBox VR| Inc.,54
RICO,First-Person|Shooter|Arcade|Action,PlayStation 4|PC|Switch|Xbox One,Mar 12 2019,Ground Shatter Ltd.,53
Bedlam: The Game by Christopher Brookmyre,First-Person|Shooter|Arcade|Action,PlayStation 4|PC|Xbox One,Oct 13 2015,Standfast Interactive,53
Another World: 20th Anniversary Edition,Platformer|2D|Adventure|Action|General,PlayStation 4|3DS|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Switch|Wii U|Xbox One,Jul  8 2014,The Digital Lounge,53
Kill Strain,Action|General,PlayStation 4,Jul 12 2016,SCEA San Diego Studios,53
Commander Cherry's Puzzled Journey,Puzzle|Action,PlayStation 4|Xbox One,Aug 11 2015,Grande Games,53
Dogos,Top-Down|Shooter|Shoot-'Em-Up|Action,PlayStation 4|PC|Xbox One,Sep  6 2016,Pablo Testa,53
Tekken 7 - DLC #1: Ultimate Tekken Bowl,Fighting|Action|3D,PlayStation 4|PC|Xbox One,Aug 31 2017,Bandai Namco Games,53
Hidden Dragon Legend,2D|Action|Platformer,PlayStation 4,Sep 19 2017,Oasis Games,52
Mighty No. 9,2D|Action|Platformer,PlayStation 4|PC|PlayStation 3|Wii U|Xbox 360|Xbox One,Jun 21 2016,Inti Creates,52
Pixel Gear,First-Person|Shooter|Arcade|Action,PlayStation 4|PC,Oct 20 2016,Geronimo Interactive,51
Krinkle Krusher,Real-Time|Strategy|Defense|Action|General,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Xbox One,Apr  7 2015,Ilusis Interactive Graphics,50
Night Trap: 25th Anniversary Edition,Action|General,PlayStation 4|PC|PlayStation Vita|Switch,Aug 15 2017,Digital Pictures,50
Toby: The Secret Mine,2D|Action|Platformer,PlayStation 4|iPhone/iPad|PC|Switch|Wii U|Xbox One,Jul  6 2017,Lukas Navratil,50
Mighty Morphin Power Rangers: Mega Battle,2D|Beat-'Em-Up|Action,PlayStation 4|Xbox One,Jan 17 2017,Bandai Namco Games,49
Crisis on the Planet of the Apes VR,Shooter|Action|Light Gun,PlayStation 4|PC,Apr  3 2018,Imaginati,49
Red Goddess: Inner World,2D|Action|Platformer,PlayStation 4|PC,Jun 30 2015,Yanim Studio,49
Blue Estate,Shooter|Action|Rail|Light Gun,PlayStation 4|PC|Xbox One,Jun 24 2014,HeSaw,49
Earth Atlantis,Shooter|Horizontal|Shoot-'Em-Up|Action,PlayStation 4|iPhone/iPad|PC|Switch|Xbox One,Jun  1 2018,Pixel Perfex,49
